T23,"Production, trade and supply of energy",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
2,Africa,2019,Total supply (petajoules),"34,381",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2020,Total supply (petajoules),"33,518",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,1995,Supply per capita (gigajoules),26,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2000,Supply per capita (gigajoules),26,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2005,Supply per capita (gigajoules),26,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2010,Supply per capita (gigajoules),27,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2015,Supply per capita (gigajoules),26,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2018,Supply per capita (gigajoules),25,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2019,Supply per capita (gigajoules),26,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2020,Supply per capita (gigajoules),25,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,1995,Primary energy production (petajoules),"84,126",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2000,Primary energy production (petajoules),"85,413",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2005,Primary energy production (petajoules),"85,234",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2010,Primary energy production (petajoules),"88,891",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2015,Primary energy production (petajoules),"104,242",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2018,Primary energy production (petajoules),"112,703",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2019,Primary energy production (petajoules),"119,109",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2020,Primary energy production (petajoules),"112,278",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"11,407",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"18,134",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"23,285",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"14,288",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"1,158",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-8,044",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"-12,536",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"-14,243",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,1995,Changes in stocks (petajoules),-912,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2000,Changes in stocks (petajoules),"-2,335",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2005,Changes in stocks (petajoules),-144,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2010,Changes in stocks (petajoules),-591,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2015,Changes in stocks (petajoules),"2,244",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2018,Changes in stocks (petajoules),-914,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2019,Changes in stocks (petajoules),965,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2020,Changes in stocks (petajoules),593,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,1995,Total supply (petajoules),"96,445",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2000,Total supply (petajoules),"105,882",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2005,Total supply (petajoules),"108,664",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2010,Total supply (petajoules),"103,770",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2015,Total supply (petajoules),"103,158",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2018,Total supply (petajoules),"105,573",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2019,Total supply (petajoules),"105,607",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2020,Total supply (petajoules),"97,441",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,1995,Supply per capita (gigajoules),327,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2000,Supply per capita (gigajoules),338,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2005,Supply per capita (gigajoules),330,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2010,Supply per capita (gigajoules),301,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2015,Supply per capita (gigajoules),286,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2018,Supply per capita (gigajoules),286,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2019,Supply per capita (gigajoules),284,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
21,Northern America,2020,Supply per capita (gigajoules),261,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,1995,Primary energy production (petajoules),"30,139",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2000,Primary energy production (petajoules),"35,359",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2005,Primary energy production (petajoules),"40,883",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2010,Primary energy production (petajoules),"41,849",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2015,Primary energy production (petajoules),"42,429",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2018,Primary energy production (petajoules),"38,795",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2019,Primary energy production (petajoules),"37,787",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2020,Primary energy production (petajoules),"35,067",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-7,907",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-9,748",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-11,762",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-8,772",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-6,906",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-4,570",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,470",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,617",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,1995,Changes in stocks (petajoules),-14,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2000,Changes in stocks (petajoules),91,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2005,Changes in stocks (petajoules),-259,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2010,Changes in stocks (petajoules),-114,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2015,Changes in stocks (petajoules),11,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2018,Changes in stocks (petajoules),-134,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2019,Changes in stocks (petajoules),-83,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2020,Changes in stocks (petajoules),-957,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,1995,Total supply (petajoules),"22,245",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2000,Total supply (petajoules),"25,520",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2005,Total supply (petajoules),"29,380",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2010,Total supply (petajoules),"33,191",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2015,Total supply (petajoules),"35,511",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2018,Total supply (petajoules),"34,358",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2019,Total supply (petajoules),"34,400",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2020,Total supply (petajoules),"32,408",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,1995,Supply per capita (gigajoules),46,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2000,Supply per capita (gigajoules),49,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2005,Supply per capita (gigajoules),53,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2010,Supply per capita (gigajoules),56,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2015,Supply per capita (gigajoules),57,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2018,Supply per capita (gigajoules),54,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2019,Supply per capita (gigajoules),53,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
419,Latin America & the Caribbean,2020,Supply per capita (gigajoules),50,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,1995,Primary energy production (petajoules),"133,119",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2000,Primary energy production (petajoules),"149,153",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2005,Primary energy production (petajoules),"190,919",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2010,Primary energy production (petajoules),"234,731",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2015,Primary energy production (petajoules),"260,136",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2018,Primary energy production (petajoules),"277,115",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2019,Primary energy production (petajoules),"280,719",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2020,Primary energy production (petajoules),"274,041",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-8,888",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-9,594",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-9,423",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),33,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"7,914",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
