T23,"Production, trade and supply of energy",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
372,Ireland,2015,Net imports [Imports - Exports - Bunkers] (petajoules),494,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2018,Net imports [Imports - Exports - Bunkers] (petajoules),374,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2019,Net imports [Imports - Exports - Bunkers] (petajoules),384,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2020,Net imports [Imports - Exports - Bunkers] (petajoules),392,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,1995,Changes in stocks (petajoules),28,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2000,Changes in stocks (petajoules),-2,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2005,Changes in stocks (petajoules),3,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2010,Changes in stocks (petajoules),-8,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2015,Changes in stocks (petajoules),14,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2018,Changes in stocks (petajoules),3,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2019,Changes in stocks (petajoules),-20,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2020,Changes in stocks (petajoules),-18,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,1995,Total supply (petajoules),448,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2000,Total supply (petajoules),580,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2005,Total supply (petajoules),618,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2010,Total supply (petajoules),608,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2015,Total supply (petajoules),561,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2018,Total supply (petajoules),579,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2019,Total supply (petajoules),575,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2020,Total supply (petajoules),555,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,1995,Supply per capita (gigajoules),125,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2000,Supply per capita (gigajoules),154,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2005,Supply per capita (gigajoules),150,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2010,Supply per capita (gigajoules),134,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2015,Supply per capita (gigajoules),120,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2018,Supply per capita (gigajoules),120,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2019,Supply per capita (gigajoules),117,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
372,Ireland,2020,Supply per capita (gigajoules),112,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2005,Primary energy production (petajoules),0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2010,Primary energy production (petajoules),0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2015,Primary energy production (petajoules),0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2018,Primary energy production (petajoules),1,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2019,Primary energy production (petajoules),1,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2020,Primary energy production (petajoules),1,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2005,Net imports [Imports - Exports - Bunkers] (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2010,Net imports [Imports - Exports - Bunkers] (petajoules),4,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2015,Net imports [Imports - Exports - Bunkers] (petajoules),4,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2018,Net imports [Imports - Exports - Bunkers] (petajoules),4,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2019,Net imports [Imports - Exports - Bunkers] (petajoules),4,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2020,Net imports [Imports - Exports - Bunkers] (petajoules),4,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2005,Total supply (petajoules),1,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2010,Total supply (petajoules),4,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2015,Total supply (petajoules),4,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2018,Total supply (petajoules),4,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2019,Total supply (petajoules),5,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2020,Total supply (petajoules),5,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2005,Supply per capita (gigajoules),9,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2010,Supply per capita (gigajoules),48,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2015,Supply per capita (gigajoules),49,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2018,Supply per capita (gigajoules),54,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2019,Supply per capita (gigajoules),59,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
833,Isle of Man,2020,Supply per capita (gigajoules),57,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,1995,Primary energy production (petajoules),23,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2000,Primary energy production (petajoules),27,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2005,Primary energy production (petajoules),87,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2010,Primary energy production (petajoules),162,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2015,Primary energy production (petajoules),273,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2018,Primary energy production (petajoules),333,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2019,Primary energy production (petajoules),343,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2020,Primary energy production (petajoules),495,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,1995,Net imports [Imports - Exports - Bunkers] (petajoules),628,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2000,Net imports [Imports - Exports - Bunkers] (petajoules),723,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2005,Net imports [Imports - Exports - Bunkers] (petajoules),690,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2010,Net imports [Imports - Exports - Bunkers] (petajoules),810,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2015,Net imports [Imports - Exports - Bunkers] (petajoules),656,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2018,Net imports [Imports - Exports - Bunkers] (petajoules),569,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2019,Net imports [Imports - Exports - Bunkers] (petajoules),583,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2020,Net imports [Imports - Exports - Bunkers] (petajoules),396,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,1995,Changes in stocks (petajoules),-1,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2000,Changes in stocks (petajoules),-17,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2005,Changes in stocks (petajoules),5,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2010,Changes in stocks (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2015,Changes in stocks (petajoules),14,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2018,Changes in stocks (petajoules),-25,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2019,Changes in stocks (petajoules),12,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2020,Changes in stocks (petajoules),6,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,1995,Total supply (petajoules),652,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2000,Total supply (petajoules),767,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2005,Total supply (petajoules),773,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2010,Total supply (petajoules),972,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2015,Total supply (petajoules),915,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2018,Total supply (petajoules),927,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2019,Total supply (petajoules),914,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2020,Total supply (petajoules),884,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,1995,Supply per capita (gigajoules),119,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2000,Supply per capita (gigajoules),125,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2005,Supply per capita (gigajoules),115,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2010,Supply per capita (gigajoules),133,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2015,Supply per capita (gigajoules),114,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2018,Supply per capita (gigajoules),110,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2019,Supply per capita (gigajoules),106,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
376,Israel,2020,Supply per capita (gigajoules),101,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,1995,Primary energy production (petajoules),"1,232",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2000,Primary energy production (petajoules),"1,180",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2005,Primary energy production (petajoules),"1,265",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2010,Primary energy production (petajoules),"1,378",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2015,Primary energy production (petajoules),"1,509",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2018,Primary energy production (petajoules),"1,452",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2019,Primary energy production (petajoules),"1,437",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2020,Primary energy production (petajoules),"1,469",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"5,439",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"6,195",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"6,463",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"5,967",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"4,860",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"4,819",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"4,839",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"4,251",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,1995,Changes in stocks (petajoules),3,Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2000,Changes in stocks (petajoules),190,Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2005,Changes in stocks (petajoules),-69,Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2010,Changes in stocks (petajoules),68,Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2015,Changes in stocks (petajoules),-5,Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2018,Changes in stocks (petajoules),-18,Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2019,Changes in stocks (petajoules),55,Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2020,Changes in stocks (petajoules),-23,Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,1995,Total supply (petajoules),"6,668",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2000,Total supply (petajoules),"7,183",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2005,Total supply (petajoules),"7,797",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2010,Total supply (petajoules),"7,277",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2015,Total supply (petajoules),"6,374",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2018,Total supply (petajoules),"6,289",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2019,Total supply (petajoules),"6,221",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2020,Total supply (petajoules),"5,743",Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,1995,Supply per capita (gigajoules),117,Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2000,Supply per capita (gigajoules),126,Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2005,Supply per capita (gigajoules),134,Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2010,Supply per capita (gigajoules),122,Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2015,Supply per capita (gigajoules),106,Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2018,Supply per capita (gigajoules),105,Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2019,Supply per capita (gigajoules),104,Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
380,Italy,2020,Supply per capita (gigajoules),96,Data include San Marino and the Holy See.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,1995,Primary energy production (petajoules),9,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2000,Primary energy production (petajoules),11,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2005,Primary energy production (petajoules),9,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2010,Primary energy production (petajoules),8,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2015,Primary energy production (petajoules),10,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2018,Primary energy production (petajoules),8,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2019,Primary energy production (petajoules),8,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2020,Primary energy production (petajoules),11,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,1995,Net imports [Imports - Exports - Bunkers] (petajoules),118,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2000,Net imports [Imports - Exports - Bunkers] (petajoules),144,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2005,Net imports [Imports - Exports - Bunkers] (petajoules),140,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2010,Net imports [Imports - Exports - Bunkers] (petajoules),103,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2015,Net imports [Imports - Exports - Bunkers] (petajoules),108,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2018,Net imports [Imports - Exports - Bunkers] (petajoules),108,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2019,Net imports [Imports - Exports - Bunkers] (petajoules),105,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2020,Net imports [Imports - Exports - Bunkers] (petajoules),91,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,1995,Changes in stocks (petajoules),-3,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2000,Changes in stocks (petajoules),7,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2005,Changes in stocks (petajoules),1,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2010,Changes in stocks (petajoules),-2,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2015,Changes in stocks (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2018,Changes in stocks (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2019,Changes in stocks (petajoules),-2,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2020,Changes in stocks (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,1995,Total supply (petajoules),130,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2000,Total supply (petajoules),148,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2005,Total supply (petajoules),147,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2010,Total supply (petajoules),113,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2015,Total supply (petajoules),117,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2018,Total supply (petajoules),117,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2019,Total supply (petajoules),115,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2020,Total supply (petajoules),102,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,1995,Supply per capita (gigajoules),52,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2000,Supply per capita (gigajoules),57,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2005,Supply per capita (gigajoules),55,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2010,Supply per capita (gigajoules),41,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2015,Supply per capita (gigajoules),42,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2018,Supply per capita (gigajoules),42,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2019,Supply per capita (gigajoules),41,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
388,Jamaica,2020,Supply per capita (gigajoules),36,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,1995,Primary energy production (petajoules),"4,043",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2000,Primary energy production (petajoules),"4,340",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2005,Primary energy production (petajoules),"4,231",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2010,Primary energy production (petajoules),"4,205",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2015,Primary energy production (petajoules),"1,321",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2018,Primary energy production (petajoules),"2,076",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2019,Primary energy production (petajoules),"2,084",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2020,Primary energy production (petajoules),"1,811",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"16,737",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"17,507",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"17,737",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"16,800",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"16,756",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"15,921",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"15,375",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"14,160",Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
392,Japan,1995,Changes in stocks (petajoules),58,Data include Okinawa.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
